2022-10-06 17:22:04.735 | INFO     | Chemingon.core.experiment:start_master_operators:257 - Experiment started with dry run = False
2022-10-06 17:22:04.736 | DEBUG    | Chemingon.components.stdlib.component:log:72 - Log from device dum3: dum3 connected
2022-10-06 17:22:04.736 | DEBUG    | Chemingon.components.stdlib.component:log:72 - Log from device dum2: dum2 connected
2022-10-06 17:22:04.736 | DEBUG    | Chemingon.components.stdlib.component:log:72 - Log from device dum1: dum1 connected
2022-10-06 17:22:04.736 | DEBUG    | Chemingon.components.stdlib.component:log:72 - Log from device sens2: Opened
2022-10-06 17:22:04.736 | DEBUG    | Chemingon.components.stdlib.component:log:72 - Log from device dummy combined: Connecting
2022-10-06 17:22:04.736 | DEBUG    | Chemingon.components.stdlib.component:log:72 - Log from device combined dum 2: combined dum 2 connected
2022-10-06 17:22:04.736 | DEBUG    | Chemingon.components.stdlib.component:log:72 - Log from device combined dum 1: combined dum 1 connected
2022-10-06 17:22:04.736 | DEBUG    | Chemingon.components.stdlib.component:log:72 - Log from device combined dumSen 1: Opened
2022-10-06 17:22:04.736 | DEBUG    | Chemingon.components.stdlib.component:log:72 - Log from public device Public Dum: Public Dum connected
2022-10-06 17:22:04.736 | DEBUG    | Chemingon.components.stdlib.component:log:72 - Log from device sens1: Opened
2022-10-06 17:22:04.737 | DEBUG    | Chemingon.components.stdlib.component:log:72 - Log from device dum4: dum4 connected
2022-10-06 17:22:04.737 | DEBUG    | Chemingon.components.stdlib.component:log:72 - Log from device sens2: Sensor sens2: data will be saved as experiment_results/Experiment_06Oct22_172204/sens2_06Oct22_172204.csv
2022-10-06 17:22:04.738 | DEBUG    | Chemingon.components.stdlib.component:log:72 - Log from device sens1: Sensor sens1: data will be saved as experiment_results/Experiment_06Oct22_172204/sens1_06Oct22_172204.csv
2022-10-06 17:22:04.739 | DEBUG    | Chemingon.components.stdlib.component:log:72 - Log from device combined dumSen 1: Sensor combined dumSen 1: data will be saved as experiment_results/Experiment_06Oct22_172204/combined dumSen 1_06Oct22_172204.csv
2022-10-06 17:22:05.243 | INFO     | Chemingon.core.experiment:_execute_protocol:414 - Protocol test protocol4: started
2022-10-06 17:22:05.244 | INFO     | Chemingon.core.experiment:_execute_protocol:414 - Protocol test protocol1: started
2022-10-06 17:22:05.244 | INFO     | Chemingon.core.experiment:_execute_protocol:453 - Protocol test protocol4: executing do_something on dummy combined
2022-10-06 17:22:05.244 | INFO     | Chemingon.core.experiment:_execute_protocol:414 - Protocol test protocol2: started
2022-10-06 17:22:05.244 | INFO     | Chemingon.core.experiment:_execute_protocol:414 - Protocol test protocol3: started
2022-10-06 17:22:05.245 | INFO     | Chemingon.core.experiment:_execute_protocol:453 - Protocol test protocol1: executing delay on Virtual Operation
2022-10-06 17:22:05.245 | INFO     | Chemingon.core.experiment:_execute_operation:75 - Device DummyCombinedDevice dummy combined executing do_something with arguments {}; Description: None
2022-10-06 17:22:05.245 | INFO     | Chemingon.core.experiment:_execute_protocol:453 - Protocol test protocol2: executing delay on Virtual Operation
2022-10-06 17:22:05.245 | INFO     | Chemingon.core.experiment:_execute_protocol:416 - Protocol test protocol3: blocking public components
2022-10-06 17:22:05.853 | DEBUG    | Chemingon.components.stdlib.component:log:72 - Log from public device Public Dum: Occupied by protocol test protocol3
2022-10-06 17:22:05.975 | INFO     | Chemingon.core.experiment:_execute_protocol:434 - Protocol test protocol3: public components ready
