time,something1,something2
0.008395910263061523,24.919111013412476,127.20280838012695
1.0119800567626953,26.603262662887573,126.97491240501404
2.0198049545288086,26.893425941467285,128.10231041908264
3.0284879207611084,27.76967740058899,128.79194450378418
4.034300804138184,29.66534948348999,131.15210890769958
5.040111064910889,29.926525115966797,132.17223715782166
6.048465967178345,30.801571369171143,132.01694655418396
7.054452896118164,32.01730680465698,133.5435185432434
8.062509059906006,33.47524857521057,135.44455552101135
9.069628953933716,34.73847413063049,135.15408873558044
10.07677698135376,35.41882801055908,136.3726155757904
11.083022117614746,35.946091413497925,137.25592732429504
12.091625928878784,37.29882192611694,138.80995178222656
13.096688032150269,38.80047655105591,139.79565954208374
14.104082822799683,38.93216609954834,140.6697986125946
15.110512018203735,40.55335450172424,141.7161238193512
16.117576837539673,41.75115609169006,143.27221751213074
17.125084161758423,41.892075300216675,142.93049025535583
18.132184982299805,43.67997670173645,144.6125409603119
19.140055894851685,44.25943970680237,146.48604488372803
20.14758801460266,45.82866597175598,146.11240983009338
21.15596103668213,46.52833604812622,146.94364047050476
22.164695024490356,46.91474199295044,148.05116200447083
23.174638032913208,48.3708930015564,148.97389674186707
24.182247161865234,49.235148429870605,151.15675044059753
25.1913640499115,50.16491436958313,152.15655732154846
26.19849705696106,51.74616265296936,151.93990850448608
27.21004891395569,52.151013135910034,154.2067096233368
28.21777606010437,53.526495933532715,154.8262219429016
29.226260900497437,54.42548322677612,156.162535905838
30.240746021270752,55.62213730812073,156.44099593162537
31.24296498298645,56.92525315284729,158.26279854774475
32.24845314025879,57.73468351364136,158.94608426094055
33.25179195404053,58.10236859321594,160.08120226860046
34.25700092315674,59.07777285575867,160.05065512657166
35.26487588882446,60.67721462249756,161.5392017364502
36.27123808860779,61.77549147605896,163.45615530014038
37.27655601501465,62.49362277984619,163.14860582351685
38.28431510925293,63.228869915008545,165.0926797389984
39.290674924850464,64.47506070137024,165.1164195537567
40.29715085029602,65.57625532150269,166.49942278862
41.30867600440979,66.72724318504333,168.2905352115631
42.31773090362549,67.32346558570862,169.6739480495453
43.328404903411865,68.92188024520874,169.7318458557129
44.339836835861206,69.7424156665802,170.11741709709167
45.3511757850647,70.8035957813263,171.2329785823822
46.36108994483948,71.7648491859436,173.6921947002411
47.37764286994934,72.68258666992188,173.70822024345398
48.38219213485718,73.12314915657043,175.30498886108398
49.388461112976074,74.43077826499939,176.71205830574036
50.39809703826904,75.36263346672058,177.2685227394104
51.40832304954529,76.9825005531311,178.46744394302368
